iter	RMSE
0	0.3656774821
1	0.3422262983
2	0.319923435
3	0.3022219269
4	0.2847291039
5	0.2684708158
6	0.2541110164
7	0.2413029258
8	0.2283514399
9	0.2173892308
10	0.206635005
11	0.1978607071
12	0.1912516384
13	0.1835053074
14	0.1771440248
15	0.1708317152
16	0.1654753506
17	0.1601442325
18	0.1555273768
19	0.1513698165
20	0.1473553119
21	0.1438122968
22	0.1406470102
23	0.1376042954
24	0.1345934723
25	0.1319640279
26	0.1296167921
27	0.1273984807
28	0.1247661717
29	0.1227399918
30	0.1211468443
31	0.1195564804
32	0.1179119622
33	0.1163249657
34	0.1151502975
35	0.1136353381
36	0.112225743
37	0.1106974019
38	0.1096490574
39	0.1086849439
40	0.1079250798
41	0.1068384991
42	0.1057527288
43	0.1050257669
44	0.1042778167
45	0.1038259621
46	0.1031755715
47	0.102364782
48	0.1017030895
49	0.1012497793
50	0.1004430477
51	0.09998119127
52	0.09955324798
53	0.09892456281
54	0.09811752515
55	0.09752299636
56	0.09697337202
57	0.09658957868
58	0.09580274572
59	0.09522364708
60	0.09470666961
61	0.09402166465
62	0.09363743416
63	0.09329412384
64	0.09289603074
65	0.09245641764
66	0.09219919809
67	0.09171939079
68	0.09117112047
69	0.09077390952
70	0.09033581507
71	0.08999856253
72	0.08954884834
73	0.08905859903
74	0.0886604687
75	0.08822366394
76	0.08783636116
77	0.08741077298
78	0.08707538064
79	0.08661914134
80	0.08612533563
81	0.08557490981
82	0.08524159647
83	0.08501050147
84	0.08484155542
85	0.08443577892
86	0.08429932172
87	0.08418525047
88	0.08380723918
89	0.08358060431
90	0.08316278885
91	0.0830877227
92	0.08248583479
93	0.08227714743
94	0.08173117611
95	0.08164475381
96	0.08136025095
97	0.08094344239
98	0.08053848172
99	0.08018038969
100	0.0796748648
101	0.07921584142
102	0.07892267598
103	0.078551355
104	0.07798922338
105	0.07770539
106	0.0776133283
107	0.07722374377
108	0.07692059257
109	0.07660201195
110	0.07651044711
111	0.07636586905
112	0.0759098151
113	0.07560076622
114	0.07531761665
115	0.07492196188
116	0.07463994241
117	0.07421095495
118	0.0737984059
119	0.07347201982
120	0.07324743462
121	0.07303605287
122	0.07270219225
123	0.07263410271
124	0.07236729441
125	0.07230749523
126	0.07192769158
127	0.07168041606
128	0.07134831034
129	0.07110401805
130	0.07091163001
131	0.07054369384
132	0.07023133743
133	0.06977344089
134	0.0695527882
135	0.06928884121
136	0.06915747032
137	0.06879334859
138	0.0684825322
139	0.06818436083
140	0.06813438062
141	0.06784095518
142	0.06770165776
143	0.06730607854
144	0.06699961649
145	0.06656043244
146	0.06631194073
147	0.06612611849
148	0.06608446224
149	0.0657582332
150	0.0654889124
151	0.06532481257
152	0.06510474125
153	0.06477412347
154	0.06453772595
155	0.06428123546
156	0.06405055052
157	0.06380493424
158	0.06353752659
159	0.06325022415
160	0.06290877253
161	0.06258849939
162	0.06229793663
163	0.06224831467
164	0.06202643324
165	0.06181126391
166	0.06142305581
167	0.06109413237
168	0.06084695029
169	0.06053651198
170	0.06029609728
171	0.06008740286
172	0.05977259102
173	0.0595614291
174	0.05938814892
175	0.05916861063
176	0.05895895689
177	0.05866147807
178	0.05833379159
179	0.05811340685
180	0.0578267652
181	0.05771380291
182	0.05747344314
183	0.05724635052
184	0.05710938522
185	0.05674760046
186	0.05653338659
187	0.05649863981
188	0.05618084792
189	0.05592400891
190	0.05583451844
191	0.0556013277
192	0.05534567752
193	0.05507549845
194	0.05503407853
